Instrument_#,I-id,Archival_Culture_Name,Possible_GJB_All_cid_Matches,Cultural_focus,Instrument_Name,Alt_Instrument_Names,Sachs_Number,Sachs_Suffix,Additional_Comments,Bibliographic_Sources,Page/plate/illustration#,Archival_source,Source_Tag,Metadata_notes
17,91,QUECHUA,"24102, 23607, 24091, 62301, 13289",,CLARINET,Erke,422212,0,,"Keiler, B. (1962). [Liner notes]. Instruments and Music of Indians of Bolivia [LP]. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/instruments-and-music-of-indians-of-bolivia/american-indian-world/album/smithsonian",,,@FW1962IndiansOfBolivia,
12,92,QUECHUA,"24102, 23607, 24091, 62301, 13289",,HARP,,3222,16,,"Tschopik, H. (1950). [Liner notes]. Music of Peru [LP]. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/music-of-peru/a/latin-world/album/smithsonian",,1A20,@FW1950MusicOfPeru  ,
20,94,QUECHUA,"24102, 23607, 24091, 62301, 13289",,FLUTE,Quena,421211,27,,"Tschopik, H. (1950). [Liner notes]. Music of Peru [LP]. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/music-of-peru/a/latin-world/album/smithsonian",,1A20,@FW1950MusicOfPeru  ,
10,95,QUECHUA,"24102, 23607, 24091, 62301, 13289",,MANDOLIN,Charango,321,16,,"Tschopik, H. (1950). [Liner notes]. Music of Peru [LP]. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/music-of-peru/a/latin-world/album/smithsonian",,1A20,@FW1950MusicOfPeru  ,
47,96,QUECHUA,"24102, 23607, 24091, 62301, 13289",,FRAME DRUM,,2113,0,,"Tschopik, H. (1950). [Liner notes]. Music of Peru [LP]. Folkways Records. In Ralph Rinzler Folklife Archives and Collections, Smithsonian Center for Folklife and Cultural Heritage. Retrieved from https://folkways.si.edu/music-of-peru/a/latin-world/album/smithsonian",,1A20,@FW1950MusicOfPeru  ,
42,97,IROQUOIS,17282,,DRUM,,2112112,15,,"Fenton, W. (1942). [Liner notes]. Songs from the Iroquois Longhouse. Archive of Folk Song, Library of Congress. Retrieved https://www.loc.gov/folklife/LP/Iroquois_L6_opt.pdf",,1B11,@AFS1942Iroquois  ,
42,98,IROQUOIS,17282,,DRUM,,2112112,15,,"Fenton, W. (1942). [Liner notes]. Songs from the Iroquois Longhouse. Archive of Folk Song, Library of Congress. Retrieved https://www.loc.gov/folklife/LP/Iroquois_L6_opt.pdf",,1B11,@AFS1942Iroquois  ,
31,99,IROQUOIS,17282,,RATTLE,,11213,3,Horn rattle,"Fenton, W. (1942). [Liner notes]. Songs from the Iroquois Longhouse. Archive of Folk Song, Library of Congress. Retrieved https://www.loc.gov/folklife/LP/Iroquois_L6_opt.pdf",,1B11,@AFS1942Iroquois  ,
31,100,IROQUOIS,17282,,RATTLE,,11213,3,Gourd rattle,"Fenton, W. (1942). [Liner notes]. Songs from the Iroquois Longhouse. Archive of Folk Song, Library of Congress. Retrieved https://www.loc.gov/folklife/LP/Iroquois_L6_opt.pdf",,1B11,@AFS1942Iroquois  ,
31,101,IROQUOIS,17282,,RATTLE,,11213,3,Turtle,"Fenton, W. (1942). [Liner notes]. Songs from the Iroquois Longhouse. Archive of Folk Song, Library of Congress. Retrieved https://www.loc.gov/folklife/LP/Iroquois_L6_opt.pdf",,1B11,@AFS1942Iroquois  ,
