Instrument_#,I-id,Instrument_Name,Archival_Culture_Name,Sachs_Number,Sachs_Suffix,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Active
42,1774,DRUM,BRI URB BAR,21121,0,0,4,0,2,1,4,2,16,13,0,0,1,2,5,1
10,1737,VIOL,BRI URB BAR,321322,18,9,0,3,4,1,4,3,10,13,16,0,6,11,5,1
23,1732,ORGAN,BRI URB BAR,42122211,30,6,0,0,3,1,4,3,1,16,11,0,6,15,5,1
10,1735,PANDORA,BRI URB BAR,321322,17,7,0,7,2,1,4,3,10,13,16,0,1,15,12,1
25,1087,BULLROARER,BUKA,41222,0,0,0,4,1,2,1,2,3,8,0,4,1,6,1,1
33,1092,JEWS HARP,BUKA,1212,3,7,0,1,2,2,1,1,11,0,0,0,1,4,2,1
20,1090,FLUTE,BUKA,42111112,0,10,1,1,3,2,1,1,10,0,0,0,1,6,2,1
5,1091,MUSICAL BOW,BUKA,311,0,7,0,2,7,2,1,1,11,0,0,0,1,6,2,1
13,1086,CONCH,BUKA,423112,0,11,0,2,2,1,1,2,8,3,0,0,1,6,2,1
16,1096,RIBBON REED,BUKA,41214,0,10,0,1,2,2,1,1,3,0,0,4,1,6,2,1
21,1084,PANPIPE,BUKA,42111211,0,4,0,2,2,2,1,1,10,0,0,0,1,6,4,1
21,1085,PANPIPE,BUKA,42111211,0,6,0,7,2,2,1,2,10,11,0,0,1,6,4,1
26,1093,STAMPER,BUKA,500000000,0,0,0,6,2,2,1,1,10,0,0,0,2,6,4,1
31,1094,RATTLE,BUKA,11213,0,0,0,1,4,1,1,2,10,16,0,0,1,6,6,1
27,1089,SLIT GONG,BUKA,111241,14,0,8,2,3,2,1,2,3,8,0,0,3,15,9,1
27,1088,SLIT GONG,BUKA,111241,14,0,8,8,3,1,1,3,8,10,11,0,3,15,9,1
13,1095,HORN,BUKA,423121,0,10,0,7,2,2,1,3,1,10,3,0,1,6,10,1
20,75,FLUTE,BULGARIA,42112112,27,0,0,3,2,1,1,2,16,13,0,0,1,6,2,1
47,1635,FRAME DRUM,BULGARIA,2113,0,0,1,3,4,1,1,1,10,0,0,0,2,6,2,1
20,1634,WHISTLE,BULGARIA,4212,0,10,0,1,8,1,1,3,0,10,15,0,9,6,2,1
19,76,BAGPIPE,BULGARIA,4221112,26,10,0,6,2,2,1,2,10,11,0,0,6,8,4,1
42,1633,DRUM,BULGARIA,211212,0,0,9,5,3,1,1,1,10,0,0,0,1,2,5,1
10,1636,FIDDLE,BULGARIA,321322,18,9,0,3,2,1,4,4,10,16,13,0,1,6,5,1
10,74,GUITAR,BULGARIA,321322,16,7,0,6,2,2,1,3,10,11,16,0,6,11,5,1
18,1462,OBOE,C RUSSIA,422121,0,10,0,2,3,1,1,3,16,10,11,0,0,6,2,1
14,1463,HORN,C RUSSIA,42312121,0,10,0,5,3,2,2,2,8,7,0,0,1,6,2,1
21,1457,PANPIPE,C RUSSIA,42111211,0,0,0,1,6,2,1,2,10,11,0,0,1,6,2,1
18,1469,OBOE,C RUSSIA,422122,27,10,0,2,3,3,2,4,9,11,10,0,1,6,2,1
